"id";"ship";"imo";"updated";"lat";"long";"sog";"cog";"hdg";"depPort";"arrPort";"etdSchedule";"etd";"atd";"etaSchedule";"eta";"ata";"travel_time_hours";"departure_delay_hours";"arrival_delay_hours";"departed_on_time";"arrived_on_time";"has_complete_voyage"
4652;Star;9364722;"2018-04-06 07:30";59.4811;24.7684;20.9;350;347;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:31";1418.16;-0.14;0.07;on time;late arrival;complete
4653;Megastar;9773064;"2018-04-06 07:30";60.1157;24.9045;17.5;182;183;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:33";1419.05;-1.0;0.05;on time;late arrival;complete
4654;Star;9364722;"2018-04-06 07:31";59.4864;24.7659;21.3;346;344;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:27";1418.09;-0.14;0.0;on time;on time;complete
4655;Megastar;9773064;"2018-04-06 07:32";60.1104;24.9038;17.5;186;186;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:39";1419.15;-1.0;0.15;on time;late arrival;complete
4656;Star;9364722;"2018-04-06 07:31";59.487;24.7656;21.3;346;344;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:26";1418.08;-0.14;-0.02;on time;on time;complete
4657;Megastar;9773064;"2018-04-06 07:33";60.105;24.9023;18.5;189;190;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:34";1419.06;-1.0;0.07;on time;late arrival;complete
4658;Star;9364722;"2018-04-06 07:33";59.4987;24.7583;21.4;344;341;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:29";1418.13;-0.14;0.03;on time;late arrival;complete
4659;Megastar;9773064;"2018-04-06 07:34";60.0992;24.9007;19.6;186;186;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:26";1418.93;-1.0;-0.07;on time;on time;complete
4660;Star;9364722;"2018-04-06 07:34";59.5038;24.7549;21.7;344;340;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:33";1418.19;-0.14;0.1;on time;late arrival;complete
4661;Megastar;9773064;"2018-04-06 07:35";60.0925;24.8997;20.7;184;184;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:31";1419.01;-1.0;0.02;on time;late arrival;complete
4662;Star;9364722;"2018-04-06 07:34";59.5068;24.7529;21.7;341;340;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:31";1418.16;-0.14;0.07;on time;late arrival;complete
4663;Megastar;9773064;"2018-04-06 07:36";60.0868;24.8989;21.2;184;184;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:41";1419.18;-1.0;0.18;on time;late arrival;complete
4664;Star;9364722;"2018-04-06 07:35";59.5133;24.7486;22.3;343;340;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:24";1418.04;-0.14;-0.05;on time;on time;complete
4665;Megastar;9773064;"2018-04-06 07:36";60.085;24.8986;21.2;184;184;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:31";1419.01;-1.0;0.02;on time;late arrival;complete
4666;Star;9364722;"2018-04-06 07:37";59.5199;24.7442;22.2;342;339;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:29";1418.13;-0.14;0.03;on time;late arrival;complete
4667;Megastar;9773064;"2018-04-06 07:37";60.0785;24.8979;21.3;182;182;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:31";1419.01;-1.0;0.02;on time;late arrival;complete
4668;Star;9364722;"2018-04-06 07:38";59.5266;24.7397;22.1;342;339;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:24";1418.04;-0.14;-0.05;on time;on time;complete
4669;Megastar;9773064;"2018-04-06 07:39";60.0697;24.8976;21.3;181;182;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:30";"2018-06-04 09:40";1419.16;-1.0;0.17;on time;late arrival;complete
4670;Star;9364722;"2018-04-06 07:39";59.533;24.7354;22.3;343;339;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:27";"2018-06-04 09:29";1418.13;-0.14;0.03;on time;late arrival;complete
